order_id,order_date,customer_id,product,category,unit_price,quantity,city,country
1001,2020-01-05,C001,Wireless Mouse,Electronics,15.99,2,Mumbai,India
1002,2020-01-06,C002,Keyboard,Electronics,25.5,1,Delhi,India
1003,2020-01-07,unknown,Notebook,Stationery,2.99,5,Bengaluru,India
1004,2020-01-08,C004,T-Shirt,Apparel,9.99,3,Chennai,India
1005,2020-01-08,C005,Water Bottle,Home,5.5,2,Hyderabad,India
1006,2020-01-09,C002,Keyboard,Electronics,25.5,1,Delhi,India
1007,2020-01-10,C006,Wireless Mouse,Electronics,0.0,1,Pune,India
1008,2020-01-11,C007,Pen,Stationery,0.99,10,Kolkata,India
1009,2020-01-12,C008,Notebook,Stationery,2.99,2,Ahmedabad,India
1010,2020-01-12,C001,Wireless Mouse,Electronics,15.99,1,Mumbai,India
